sentence id,sentence,PLL score,nr. of tokens
tensor(0),The raider caught the illness.,-45.81113052368164,8
tensor(1),The illness caught the raider.,-46.93471908569336,8
tensor(2),The illness was caught by the raider.,-46.53342056274414,10
tensor(3),The raider was caught by the illness.,-50.32292938232422,10
tensor(4),The marauder contracted the disease.,-42.05147171020508,8
tensor(5),The disease contracted the marauder.,-47.58041000366211,8
tensor(6),The disease was contracted by the marauder.,-43.51203536987305,10
tensor(7),The marauder was contracted by the disease.,-48.98672866821289,10
tensor(8),The convict dreaded the prison.,-42.86589813232422,7
tensor(9),The prison dreaded the convict.,-42.54425811767578,7
tensor(10),The prison was dreaded by the convict.,-49.86058807373047,9
tensor(11),The convict was dreaded by the prison.,-48.87239074707031,9
tensor(12),The criminal feared the jail.,-44.746002197265625,7
tensor(13),The jail feared the criminal.,-49.71984100341797,7
tensor(14),The jail was feared by the criminal.,-54.84062957763672,9
tensor(15),The criminal was feared by the jail.,-50.87821960449219,9
tensor(16),The prostitute squandered the cash.,-43.85828399658203,9
tensor(17),The cash squandered the prostitute.,-52.37516403198242,9
tensor(18),The cash was squandered by the prostitute.,-47.16904830932617,11
tensor(19),The prostitute was squandered by the cash.,-52.807674407958984,11
tensor(20),The call girl wasted the money.,-43.76291275024414,8
tensor(21),The money wasted the call girl.,-45.66620635986328,8
tensor(22),The money was wasted by the call girl.,-43.99412536621094,10
tensor(23),The call girl was wasted by the money.,-50.0357666015625,10
tensor(24),The adventurer requested the beverage.,-44.628501892089844,7
tensor(25),The beverage requested the adventurer.,-51.87107467651367,7
tensor(26),The beverage was requested by the adventurer.,-48.67948913574219,9
tensor(27),The adventurer was requested by the beverage.,-52.42351531982422,9
tensor(28),The undertaker prepared the funeral.,-46.553550720214844,8
tensor(29),The funeral prepared the undertaker.,-45.52347183227539,8
tensor(30),The funeral was prepared by the undertaker.,-43.97005081176758,10
tensor(31),The undertaker was prepared by the funeral.,-52.53215026855469,10
tensor(32),The mortician arranged the burial.,-41.167266845703125,8
tensor(33),The burial arranged the mortician.,-50.117706298828125,8
tensor(34),The burial was arranged by the mortician.,-42.7139892578125,10
tensor(35),The mortician was arranged by the burial.,-54.17674255371094,10
tensor(36),The supervisor supplied the liquor.,-43.37538146972656,7
tensor(37),The liquor supplied the supervisor.,-49.8924560546875,7
tensor(38),The liquor was supplied by the supervisor.,-45.23984909057617,9
tensor(39),The supervisor was supplied by the liquor.,-52.11994552612305,9
tensor(40),The overseer provided the alcohol.,-42.76915740966797,8
tensor(41),The alcohol provided the overseer.,-49.41682815551758,8
tensor(42),The alcohol was provided by the overseer.,-45.61041259765625,10
tensor(43),The overseer was provided by the alcohol.,-50.508975982666016,10
tensor(44),The troublemaker crashed the car.,-38.78828430175781,8
tensor(45),The car crashed the troublemaker.,-42.33216857910156,8
tensor(46),The car was crashed by the troublemaker.,-43.7022590637207,10
tensor(47),The troublemaker was crashed by the car.,-46.17599868774414,10
tensor(48),The hooligan wrecked the vehicle.,-44.31353759765625,9
tensor(49),The vehicle wrecked the hooligan.,-48.330135345458984,9
tensor(50),The vehicle was wrecked by the hooligan.,-44.868553161621094,11
tensor(51),The hooligan was wrecked by the vehicle.,-49.201072692871094,11
tensor(52),The repairman fixed the tap.,-43.61894989013672,8
tensor(53),The tap fixed the repairman.,-46.513492584228516,8
tensor(54),The tap was fixed by the repairman.,-44.21208190917969,10
tensor(55),The repairman was fixed by the tap.,-51.01486587524414,10
tensor(56),The handyman repaired the faucet.,-46.55559158325195,10
tensor(57),The faucet repaired the handyman.,-50.98350524902344,10
tensor(58),The faucet was repaired by the handyman.,-43.9766960144043,12
tensor(59),The handyman was repaired by the faucet.,-54.07675552368164,12
tensor(60),The secretary organized the desk.,-46.685882568359375,7
tensor(61),The desk organized the secretary.,-46.42293930053711,7
tensor(62),The desk was organized by the secretary.,-43.49943923950195,9
tensor(63),The secretary was organized by the desk.,-48.57729721069336,9
tensor(64),The receptionist tidied the table.,-41.257164001464844,9
tensor(65),The table tidied the receptionist.,-50.88312530517578,9
tensor(66),The table was tidied by the receptionist.,-47.658531188964844,11
tensor(67),The receptionist was tidied by the table.,-53.09713363647461,11
tensor(68),The pilot steered the airplane.,-39.725059509277344,7
tensor(69),The airplane steered the pilot.,-41.61756896972656,7
tensor(70),The airplane was steered by the pilot.,-37.444488525390625,9
tensor(71),The pilot was steered by the airplane.,-45.89823913574219,9
tensor(72),The aviator maneuvered the jet.,-47.842552185058594,9
tensor(73),The jet maneuvered the aviator.,-50.22259521484375,9
tensor(74),The jet was maneuvered by the aviator.,-47.371944427490234,11
tensor(75),The aviator was maneuvered by the jet.,-53.095767974853516,11
tensor(76),The chef sauteed the squid.,-39.55436706542969,9
tensor(77),The squid sauteed the chef.,-49.8568115234375,9
tensor(78),The squid was sauteed by the chef.,-51.34077072143555,11
tensor(79),The chef was sauteed by the squid.,-52.952911376953125,11
tensor(80),The cook grilled the octopus.,-42.76116180419922,8
tensor(81),The octopus grilled the cook.,-43.79045486450195,8
tensor(82),The octopus was grilled by the cook.,-45.504119873046875,10
tensor(83),The cook was grilled by the octopus.,-43.908790588378906,10
tensor(84),The ship captain promised the triumph.,-49.824241638183594,8
tensor(85),The triumph promised the ship captain.,-55.73688507080078,8
tensor(86),The triumph was promised by the ship captain.,-52.04222106933594,10
tensor(87),The ship captain was promised by the triumph.,-56.03815460205078,10
tensor(88),The skipper guaranteed the victory.,-43.04259490966797,8
tensor(89),The victory guaranteed the skipper.,-46.85203170776367,8
tensor(90),The victory was guaranteed by the skipper.,-45.08816909790039,10
tensor(91),The skipper was guaranteed by the victory.,-53.168460845947266,10
tensor(92),The milliner adorned the fedora.,-51.17008590698242,9
tensor(93),The fedora adorned the milliner.,-50.9133415222168,9
tensor(94),The fedora was adorned by the milliner.,-52.610042572021484,11
tensor(95),The milliner was adorned by the fedora.,-53.98237609863281,11
tensor(96),The hatter decorated the bowler.,-51.575157165527344,9
tensor(97),The bowler decorated the hatter.,-52.364463806152344,9
tensor(98),The bowler was decorated by the hatter.,-56.18169403076172,11
tensor(99),The hatter was decorated by the bowler.,-55.18304443359375,11
tensor(100),The serviceman hoisted the flag.,-40.574703216552734,9
tensor(101),The flag hoisted the serviceman.,-50.13164520263672,9
tensor(102),The flag was hoisted by the serviceman.,-48.38861846923828,11
tensor(103),The serviceman was hoisted by the flag.,-48.62113571166992,11
tensor(104),The soldier raised the banner.,-35.292938232421875,7
tensor(105),The banner raised the soldier.,-44.229774475097656,7
tensor(106),The banner was raised by the soldier.,-42.742271423339844,9
tensor(107),The soldier was raised by the banner.,-43.70623779296875,9
tensor(108),The agent failed the mission.,-37.34374237060547,7
tensor(109),The mission failed the agent.,-40.56205749511719,7
tensor(110),The mission was failed by the agent.,-40.97528839111328,9
tensor(111),The agent was failed by the mission.,-47.102272033691406,9
tensor(112),The operative blew the assignment.,-44.948970794677734,7
tensor(113),The assignment blew the operative.,-52.4937744140625,7
tensor(114),The assignment was blown by the operative.,-52.391929626464844,9
tensor(115),The operative was blown by the assignment.,-51.30231475830078,9
tensor(116),The anchorman garbled the expression.,-52.34331512451172,9
tensor(117),The expression garbled the anchorman.,-54.56060791015625,9
tensor(118),The expression was garbled by the anchorman.,-49.42786407470703,11
tensor(119),The anchorman was garbled by the expression.,-56.51930618286133,11
tensor(120),The announcer mispronounced the word.,-36.900390625,9
tensor(121),The word mispronounced the announcer.,-47.02641296386719,9
tensor(122),The word was mispronounced by the announcer.,-37.676605224609375,11
tensor(123),The announcer was mispronounced by the word.,-49.089874267578125,11
tensor(124),The author finished the novel.,-32.295379638671875,7
tensor(125),The novel finished the author.,-41.05211639404297,7
tensor(126),The novel was finished by the author.,-36.85310363769531,9
tensor(127),The author was finished by the novel.,-44.30438232421875,9
tensor(128),The writer completed the book.,-32.577850341796875,7
tensor(129),The book completed the writer.,-40.759185791015625,7
tensor(130),The book was completed by the writer.,-35.96920394897461,9
tensor(131),The writer was completed by the book.,-43.8469123840332,9
tensor(132),The financier sponsored the project.,-39.971290588378906,9
tensor(133),The project sponsored the financier.,-50.75241470336914,9
tensor(134),The project was sponsored by the financier.,-42.46817398071289,11
tensor(135),The financier was sponsored by the project.,-47.464420318603516,11
tensor(136),The banker funded the program.,-40.209354400634766,7
tensor(137),The program funded the banker.,-45.54264831542969,7
tensor(138),The program was funded by the banker.,-40.320640563964844,9
tensor(139),The banker was funded by the program.,-46.24863815307617,9
tensor(140),The tourist exited the bus.,-39.765506744384766,7
tensor(141),The bus exited the tourist.,-45.31047058105469,7
tensor(142),The bus was exited by the tourist.,-45.980873107910156,9
tensor(143),The tourist was exited by the bus.,-46.41971206665039,9
tensor(144),The vacationer left the shuttle.,-49.46805953979492,8
tensor(145),The shuttle left the vacationer.,-50.17144012451172,8
tensor(146),The shuttle was left by the vacationer.,-52.47346878051758,10
tensor(147),The vacationer was left by the shuttle.,-55.40885543823242,10
tensor(148),The dietitian loathed the jam.,-51.348670959472656,10
tensor(149),The jam loathed the dietitian.,-54.89185333251953,10
tensor(150),The jam was loathed by the dietitian.,-57.79400634765625,12
tensor(151),The dietitian was loathed by the jam.,-59.76302719116211,12
tensor(152),The nutritionist detested the marmalade.,-52.18248748779297,11
tensor(153),The marmalade detested the nutritionist.,-58.27155685424805,11
tensor(154),The marmalade was detested by the nutritionist.,-62.283668518066406,13
tensor(155),The nutritionist was detested by the marmalade.,-62.248291015625,13
tensor(156),The scientist discovered the cure.,-37.71996307373047,7
tensor(157),The cure discovered the scientist.,-48.34524154663086,7
tensor(158),The cure was discovered by the scientist.,-41.72451400756836,9
tensor(159),The scientist was discovered by the cure.,-45.926483154296875,9
tensor(160),The researcher found the remedy.,-40.297889709472656,7
tensor(161),The remedy found the researcher.,-43.40705871582031,7
tensor(162),The remedy was found by the researcher.,-41.255863189697266,9
tensor(163),The researcher was found by the remedy.,-50.387046813964844,9
tensor(164),The doctor closed the school.,-37.08723449707031,7
tensor(165),The school closed the doctor.,-38.75806427001953,7
tensor(166),The school was closed by the doctor.,-37.88809585571289,9
tensor(167),The doctor was closed by the school.,-42.482112884521484,9
tensor(168),The maid lifted the cushion.,-43.67097854614258,7
tensor(169),The cushion lifted the maid.,-46.881778717041016,7
tensor(170),The cushion was lifted by the maid.,-48.02214813232422,9
tensor(171),The maid was lifted by the cushion.,-50.31305694580078,9
tensor(172),The servant wiped the sink.,-44.88050842285156,7
tensor(173),The sink wiped the servant.,-49.87598419189453,7
tensor(174),The sink was wiped by the servant.,-48.924476623535156,9
tensor(175),The servant was wiped by the sink.,-49.0749397277832,9
tensor(176),The domestic cleaned the wash basin.,-50.4136848449707,8
tensor(177),The wash basin cleaned the domestic.,-53.559234619140625,8
tensor(178),The wash basin was cleaned by the domestic.,-54.307804107666016,10
tensor(179),The domestic was cleaned by the wash basin.,-54.528076171875,10
tensor(180),The friend donned the pullover.,-45.215553283691406,9
tensor(181),The pullover donned the friend.,-50.79682540893555,9
tensor(182),The pullover was donned by the friend.,-54.768165588378906,11
tensor(183),The friend was donned by the pullover.,-56.33293533325195,11
tensor(184),The convalescent took the pill.,-39.86076354980469,9
tensor(185),The pill took the convalescent.,-49.33045196533203,9
tensor(186),The pill was taken by the convalescent.,-48.786529541015625,11
tensor(187),The convalescent was taken by the pill.,-49.23343276977539,11
tensor(188),The patient swallowed the medicine.,-36.911293029785156,7
tensor(189),The medicine swallowed the patient.,-40.43010330200195,7
tensor(190),The medicine was swallowed by the patient.,-42.85056686401367,9
tensor(191),The patient was swallowed by the medicine.,-42.25510787963867,9
tensor(192),The hoarder hid the stash.,-41.19405746459961,8
tensor(193),The stash hid the hoarder.,-45.68878173828125,8
tensor(194),The stash was hidden by the hoarder.,-43.71945571899414,10
tensor(195),The hoarder was hidden by the stash.,-47.28603744506836,10
tensor(196),The packrat concealed the stockpile.,-52.399715423583984,8
tensor(197),The stockpile concealed the packrat.,-59.42905044555664,8
tensor(198),The stockpile was concealed by the packrat.,-59.11654281616211,10
tensor(199),The packrat was concealed by the stockpile.,-56.929901123046875,10
tensor(200),The reporter abandoned the story.,-33.823307037353516,7
tensor(201),The story abandoned the reporter.,-39.638771057128906,7
tensor(202),The story was abandoned by the reporter.,-36.658084869384766,9
tensor(203),The reporter was abandoned by the story.,-41.4280891418457,9
tensor(204),The journalist ditched the article.,-36.8271369934082,8
tensor(205),The article ditched the journalist.,-38.46585464477539,8
tensor(206),The article was ditched by the journalist.,-39.5947380065918,10
tensor(207),The journalist was ditched by the article.,-42.88248825073242,10
tensor(208),The carnivore ate the steak.,-37.02737808227539,8
tensor(209),The steak ate the carnivore.,-42.787681579589844,8
tensor(210),The steak was eaten by the carnivore.,-41.9477424621582,10
tensor(211),The carnivore was eaten by the steak.,-45.128482818603516,10
tensor(212),The meat-eater devoured the filet.,-62.31315994262695,12
tensor(213),The filet devoured the meat-eater.,-61.524009704589844,12
tensor(214),The filet was devoured by the meat-eater.,-61.20297622680664,14
tensor(215),The meat-eater was devoured by the filet.,-65.53667449951172,14
tensor(216),The man drank the soda.,-32.189247131347656,7
tensor(217),The soda drank the man.,-38.07313919067383,7
tensor(218),The soda was drunk by the man.,-45.09339141845703,9
tensor(219),The man was drunk by the soda.,-40.5219612121582,9
tensor(220),The teacher bought the laptop.,-33.7022590637207,7
tensor(221),The laptop bought the teacher.,-42.70328140258789,7
tensor(222),The laptop was bought by the teacher.,-37.629005432128906,9
tensor(223),The teacher was bought by the laptop.,-47.64984130859375,9
tensor(224),The instructor purchased the computer.,-39.24059295654297,7
tensor(225),The computer purchased the instructor.,-45.386783599853516,7
tensor(226),The computer was purchased by the instructor.,-40.94423294067383,9
tensor(227),The instructor was purchased by the computer.,-46.92110061645508,9
tensor(228),The lady cooked the supper.,-39.28854751586914,7
tensor(229),The supper cooked the lady.,-43.70802307128906,7
tensor(230),The supper was cooked by the lady.,-44.724266052246094,9
tensor(231),The lady was cooked by the supper.,-50.2090950012207,9
tensor(232),The woman prepared the dinner.,-35.348106384277344,7
tensor(233),The dinner prepared the woman.,-40.45732116699219,7
tensor(234),The dinner was prepared by the woman.,-41.16246032714844,9
tensor(235),The woman was prepared by the dinner.,-47.58222961425781,9
tensor(236),The traveler lost the souvenir.,-42.29529571533203,8
tensor(237),The souvenir lost the traveler.,-47.01044845581055,8
tensor(238),The souvenir was lost by the traveler.,-46.005088806152344,10
tensor(239),The traveler was lost by the souvenir.,-50.57416915893555,10
tensor(240),The sightseer misplaced the memento.,-51.96154022216797,11
tensor(241),The memento misplaced the sightseer.,-60.81534957885742,11
tensor(242),The memento was misplaced by the sightseer.,-58.39361572265625,13
tensor(243),The sightseer was misplaced by the memento.,-59.05391311645508,13
tensor(244),The comedian confirmed the itinerary.,-42.69135284423828,8
tensor(245),The itinerary confirmed the comedian.,-48.770530700683594,8
